species,source_asset,source_mesh_file,glb_mesh_name,structure_id,acronym,label,group,parent_id,hemisphere,catalog_status,notes
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.VAmc.k14.gii,D99_v2.VAmc.k14,14,VAmc,"ventral anterior nucleus, magnocellular division",Thalamus / Dorsal thalamus_lateral group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.LD.k15.gii,D99_v2.LD.k15,15,LD,lateral dorsal nucleus,Thalamus / Dorsal thalamus_anterior group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.MDmc.k16.gii,D99_v2.MDmc.k16,16,MDmc,"mediodorsal nucleus, magnocellular division",Thalamus / Dorsal thalamus_medial group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.MDpc.k17.gii,D99_v2.MDpc.k17,17,MDpc,"mediodorsal nucleus, parvicellular division",Thalamus / Dorsal thalamus_medial group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.MDmf.k18.gii,D99_v2.MDmf.k18,18,MDmf,"mediodorsal nucleus, multiform division",Thalamus / Dorsal thalamus_medial group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.VLc.k19.gii,D99_v2.VLc.k19,19,VLc,ventral lateral caudal nucleus,Thalamus / Dorsal thalamus_lateral group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.VLo.k20.gii,D99_v2.VLo.k20,20,VLo,ventral lateral oral nucleus,Thalamus / Dorsal thalamus_lateral group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.VPI.k21.gii,D99_v2.VPI.k21,21,VPI,ventral posterior inferior nucleus,Thalamus / Dorsal thalamus_lateral group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.VPM.k22.gii,D99_v2.VPM.k22,22,VPM,ventral posterior medial nucleus,Thalamus / Dorsal thalamus_lateral group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.VPMpc.k23.gii,D99_v2.VPMpc.k23,23,VPMpc,"ventral posterior medial nucleus, parvicellular division",Thalamus / Dorsal thalamus_lateral group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.cnMD.k24.gii,D99_v2.cnMD.k24,24,cnMD,centromedian nucleus,Thalamus / Dorsal thalamus_intralaminar group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.Pf.k25.gii,D99_v2.Pf.k25,25,Pf,parafascicular nucleus,Thalamus / Dorsal thalamus_intralaminar group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.LP.k26.gii,D99_v2.LP.k26,26,LP,lateral posterior nucleus,Thalamus / Dorsal thalamus_lateral group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.VPLc.k27.gii,D99_v2.VPLc.k27,27,VPLc,ventral posterior lateral caudal nucleus,Thalamus / Dorsal thalamus_lateral group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.PM.k28.gii,D99_v2.PM.k28,28,PM,medial pulvinar,Thalamus / Dorsal thalamus_posterior group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.PL.k29.gii,D99_v2.PL.k29,29,PL,lateral pulvinar,Thalamus / Dorsal thalamus_posterior group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.PI.k30.gii,D99_v2.PI.k30,30,PI,inferior pulvinar,Thalamus / Dorsal thalamus_posterior group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.MDdc.k31.gii,D99_v2.MDdc.k31,31,MDdc,"mediodorsal nucleus, densocellular division",Thalamus / Dorsal thalamus_medial group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.LGN.k32.gii,D99_v2.LGN.k32,32,LGN,lateral geniculate nucleus,Thalamus / Geniculate region,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.Hl.k34.gii,D99_v2.Hl.k34,34,Hl,lateral habenular nucleus,Thalamus / Epithalamus,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.Hm.k35.gii,D99_v2.Hm.k35,35,Hm,medial habenular nucleus,Thalamus / Epithalamus,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.r.k36.gii,D99_v2.r.k36,36,r,reticular nucleus,Thalamus / Other thalamic region,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.zic.k37.gii,D99_v2.zic.k37,37,zic,zona incerta,Thalamus / Other thalamic region,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.Pa.k38.gii,D99_v2.Pa.k38,38,Pa,paraventricular nucleus,Thalamus / Dorsal thalamus_medial group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.MMN.k39.gii,D99_v2.MMN.k39,39,MMN,medial mammillary nucleus,Hypothalamus / Posterior group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.LMN.k40.gii,D99_v2.LMN.k40,40,LMN,lateral mammillary nucleus,Hypothalamus / Posterior group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.RNpc.k41.gii,D99_v2.RNpc.k41,41,RNpc,"red nucleus, parvicellular division",Brainstem / Midbrain,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.3rd.k42.gii,D99_v2.3rd.k42,42,3rd,third cranial (oculomotor) nuclei,Brainstem / Midbrain,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.4th.k43.gii,D99_v2.4th.k43,43,4th,fourth cranial (trochlear) nuclei,Brainstem / Midbrain,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.SC.k44.gii,D99_v2.SC.k44,44,SC,superior colliculus,Brainstem / Midbrain,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.IC.k45.gii,D99_v2.IC.k45,45,IC,inferior colliculus,Brainstem / Midbrain,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.5th.k46.gii,D99_v2.5th.k46,46,5th,fifth cranial (trigeminal) nuclei,Brainstem / Pons,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.6th.k47.gii,D99_v2.6th.k47,47,6th,sixth cranial (abducent) nuclei,Brainstem / Pons,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.7th.k48.gii,D99_v2.7th.k48,48,7th,seventh cranial (facial) nuclei,Brainstem / Pons,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.vn.k49.gii,D99_v2.vn.k49,49,vn,vestibular nuclei,Brainstem / Pons,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.stn.k50.gii,D99_v2.stn.k50,50,stn,spinal trigeminal nucleus,Brainstem / pons and medulla,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.ion.k51.gii,D99_v2.ion.k51,51,ion,inferior olivary nucleus,Brainstem / Medulla,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.soc.k52.gii,D99_v2.soc.k52,52,soc,superior olivary complex,Brainstem / Pons,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.chn.k53.gii,D99_v2.chn.k53,53,chn,cochlear nucleus,Brainstem / Medulla,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.12th.k54.gii,D99_v2.12th.k54,54,12th,twelfth cranial (hypoglossal) nuclei,Brainstem / Medulla,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.denv_10.k55.gii,D99_v2.denv_10.k55,55,denv_10,dorsal motor nucleus of vagus (tenth cranial nuclei),Brainstem / Medulla,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.sn.k56.gii,D99_v2.sn.k56,56,sn,solitary nucleus,Brainstem / Medulla,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.np.k57.gii,D99_v2.np.k57,57,np,nucleus prepositus,Brainstem / Medulla,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.gn.k58.gii,D99_v2.gn.k58,58,gn,gracile nucleus,Brainstem / Medulla,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.cn.k59.gii,D99_v2.cn.k59,59,cn,cuneate nucleus,Brainstem / Medulla,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.lcn.k60.gii,D99_v2.lcn.k60,60,lcn,lateral cuneate nucleus,Brainstem / Medulla,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.DN.k61.gii,D99_v2.DN.k61,61,DN,dentate nucleus,Cerebellum / Deep cerebellar nuclei,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.AIN.k62.gii,D99_v2.AIN.k62,62,AIN,anterior interposed nucleus,Cerebellum / Deep cerebellar nuclei,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.PIN.k63.gii,D99_v2.PIN.k63,63,PIN,posterior interposed nucleus,Cerebellum / Deep cerebellar nuclei,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.FN.k64.gii,D99_v2.FN.k64,64,FN,fastigial nucleus,Cerebellum / Deep cerebellar nuclei,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.ac.k66.gii,D99_v2.ac.k66,66,ac,anterior commissure,Fiber bundle,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.OC.k67.gii,D99_v2.OC.k67,67,OC,optic chiasm,Fiber bundle,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.ot.k68.gii,D99_v2.ot.k68,68,ot,optic tract,Fiber bundle,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.fr.k69.gii,D99_v2.fr.k69,69,fr,fasciculus retroflexus,Fiber bundle,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.SNpm.k70.gii,D99_v2.SNpm.k70,70,SNpm,Substantia nigra pars mixta,Basal ganglia / Nigral region,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
macaque_prototype,source/D99_v2.0_dist.tgz:D99_v2.0_dist/D99_v2.0_labels_semicolon.txt,source/D99_v2.0_dist.tgz:D99_v2.0_dist/surfs_right/D99_v2.VLps.k103.gii,D99_v2.VLps.k103,103,VLps,ventral lateral postrema nucleus,Thalamus / Dorsal thalamus_lateral group,,right,archive_label_surface_right_available,Right-hemisphere GIFTI surface available in D99 tgz; GLB still needs conversion.
