species,source_asset,source_mesh_file,glb_mesh_name,structure_id,acronym,label,group,parent_id,hemisphere,catalog_status,notes
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,50_Superficial_gray_layer_of_the_superior_colliculus,50,,Superficial gray layer of the superior colliculus,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,51_Periaqueductal_gray,51,,Periaqueductal gray,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,52_fornix,52,,fornix,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,53_mammillotegmental_tract,53,,mammillotegmental tract,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,54_commissural_stria_terminalis,54,,commissural stria terminalis,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,55_Deeper_layers_of_the_superior_colliculus,55,,Deeper layers of the superior colliculus,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,56_Periventricular_gray,56,,Periventricular gray,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,57_genu_of_the_facial_nerve,57,,genu of the facial nerve,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,58_Pontine_nuclei,58,,Pontine nuclei,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,59_fimbria_of_the_hippocampus,59,,fimbria of the hippocampus,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,60_fasciculus_retroflexus,60,,fasciculus retroflexus,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,61_stria_medullaris_thalami,61,,stria medullaris thalami,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,62_stria_terminalis,62,,stria terminalis,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,63_posterior_commissure,63,,posterior commissure,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,64_Glomerular_layer_of_the_accessory_olfactory_bulb,64,,Glomerular layer of the accessory olfactory bulb,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
rat,source/WHS_SD_rat_atlas_v4.01.label,source/WHS_SD_rat_atlas_v4.01.nii.gz,65_Glomerular_layer_of_the_olfactory_bulb,65,,Glomerular layer of the olfactory bulb,,,,label_from_itksnap,Volume label id; derive STL/OBJ before GLB packing.
