species,source_asset,source_mesh_file,glb_mesh_name,structure_id,acronym,label,group,parent_id,hemisphere,catalog_status,notes
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/312782624.obj,312782624,312782624,VISrl6b,"Rostrolateral area, layer 6b",Basic cell groups and regions,417,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Posterior parietal association areas > Rostrolateral visual area > Rostrolateral area, layer 6b"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/312782628.obj,312782628,312782628,VISpor,Postrhinal area,Basic cell groups and regions,669,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Visual areas > Postrhinal area
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/312782632.obj,312782632,312782632,VISpor1,"Postrhinal area, layer 1",Basic cell groups and regions,312782628,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Visual areas > Postrhinal area > Postrhinal area, layer 1"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/312782636.obj,312782636,312782636,VISpor2/3,"Postrhinal area, layer 2/3",Basic cell groups and regions,312782628,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Visual areas > Postrhinal area > Postrhinal area, layer 2/3"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/312782640.obj,312782640,312782640,VISpor4,"Postrhinal area, layer 4",Basic cell groups and regions,312782628,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Visual areas > Postrhinal area > Postrhinal area, layer 4"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/312782644.obj,312782644,312782644,VISpor5,"Postrhinal area, layer 5",Basic cell groups and regions,312782628,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Visual areas > Postrhinal area > Postrhinal area, layer 5"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/312782648.obj,312782648,312782648,VISpor6a,"Postrhinal area, layer 6a",Basic cell groups and regions,312782628,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Visual areas > Postrhinal area > Postrhinal area, layer 6a"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/312782652.obj,312782652,312782652,VISpor6b,"Postrhinal area, layer 6b",Basic cell groups and regions,312782628,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Visual areas > Postrhinal area > Postrhinal area, layer 6b"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/484682470.obj,484682470,484682470,ProS,Prosubiculum,Basic cell groups and regions,822,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Hippocampal formation > Retrohippocampal region > Prosubiculum
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/484682508.obj,484682508,484682508,APr,Area prostriata,Basic cell groups and regions,822,bilateral,mesh_with_ontology,ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Hippocampal formation > Retrohippocampal region > Area prostriata
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/484682512.obj,484682512,484682512,scwm,supra-callosal cerebral white matter,fiber tracts,1009,bilateral,mesh_with_ontology,ontology_path=root > fiber tracts > supra-callosal cerebral white matter
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/484682516.obj,484682516,484682516,ccb,"corpus callosum, body",fiber tracts,776,bilateral,mesh_with_ontology,"ontology_path=root > fiber tracts > lateral forebrain bundle system > corpus callosum > corpus callosum, body"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/484682520.obj,484682520,484682520,or,optic radiation,fiber tracts,896,bilateral,mesh_with_ontology,ontology_path=root > fiber tracts > lateral forebrain bundle system > thalamus related > optic radiation
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/484682524.obj,484682524,484682524,ar,auditory radiation,fiber tracts,896,bilateral,mesh_with_ontology,ontology_path=root > fiber tracts > lateral forebrain bundle system > thalamus related > auditory radiation
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/484682528.obj,484682528,484682528,stc,commissural branch of stria terminalis,fiber tracts,301,bilateral,mesh_with_ontology,ontology_path=root > fiber tracts > medial forebrain bundle system > cerebrum related > stria terminalis > commissural branch of stria terminalis
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/496345664.obj,496345664,496345664,LGd-sh,"Dorsal part of the lateral geniculate complex, shell",Basic cell groups and regions,170,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Interbrain > Thalamus > Thalamus, sensory-motor cortex related > Geniculate group, dorsal thalamus > Dorsal part of the lateral geniculate complex > Dorsal part of the lateral geniculate complex, shell"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/496345668.obj,496345668,496345668,LGd-co,"Dorsal part of the lateral geniculate complex, core",Basic cell groups and regions,170,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Interbrain > Thalamus > Thalamus, sensory-motor cortex related > Geniculate group, dorsal thalamus > Dorsal part of the lateral geniculate complex > Dorsal part of the lateral geniculate complex, core"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/496345672.obj,496345672,496345672,LGd-ip,"Dorsal part of the lateral geniculate complex, ipsilateral zone",Basic cell groups and regions,170,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Brain stem > Interbrain > Thalamus > Thalamus, sensory-motor cortex related > Geniculate group, dorsal thalamus > Dorsal part of the lateral geniculate complex > Dorsal part of the lateral geniculate complex, ipsilateral zone"
mouse,source/structure_graph_1.json;source/structure_meshes,source/structure_meshes/526157192.obj,526157192,526157192,FRP5,"Frontal pole, layer 5",Basic cell groups and regions,184,bilateral,mesh_with_ontology,"ontology_path=root > Basic cell groups and regions > Cerebrum > Cerebral cortex > Cortical plate > Isocortex > Frontal pole, cerebral cortex > Frontal pole, layer 5"
