2026-04-10 20:46:34,399 [INFO] Stage 2 step 1300/5000: loss=2.5282, sens=1.9108, prior_kl=0.8756, fb_sparse=0.0000, energy=0.3409, homeo=0.0000, s_acc=0.322, p_acc=0.161, ang_err=14.6, grad_norm=0.343, pi_ceil=0.000, fb_scale=0.299
2026-04-10 20:47:40,739 [INFO] Stage 2 step 1400/5000: loss=2.3731, sens=1.7690, prior_kl=0.8105, fb_sparse=0.0000, energy=0.3447, homeo=0.0000, s_acc=0.354, p_acc=0.169, ang_err=13.1, grad_norm=0.309, pi_ceil=0.000, fb_scale=0.399
2026-04-10 20:48:43,179 [INFO] Stage 2 step 1500/5000: loss=2.4926, sens=1.9034, prior_kl=0.8844, fb_sparse=0.0000, energy=0.3372, homeo=0.0000, s_acc=0.404, p_acc=0.151, ang_err=15.5, grad_norm=0.432, pi_ceil=0.000, fb_scale=0.499
2026-04-10 20:49:57,411 [INFO] Stage 2 step 1600/5000: loss=2.4598, sens=1.9787, prior_kl=0.8305, fb_sparse=0.0000, energy=0.3416, homeo=0.0000, s_acc=0.394, p_acc=0.159, ang_err=13.8, grad_norm=0.344, pi_ceil=0.000, fb_scale=0.599
2026-04-10 20:51:10,477 [INFO] Stage 2 step 1700/5000: loss=2.2255, sens=1.5303, prior_kl=0.8141, fb_sparse=0.0000, energy=0.3554, homeo=0.0000, s_acc=0.459, p_acc=0.164, ang_err=13.7, grad_norm=0.341, pi_ceil=0.000, fb_scale=0.699
2026-04-10 20:52:16,529 [INFO] Stage 2 step 1800/5000: loss=2.2325, sens=1.5821, prior_kl=0.7992, fb_sparse=0.0000, energy=0.3572, homeo=0.0000, s_acc=0.459, p_acc=0.174, ang_err=13.3, grad_norm=0.416, pi_ceil=0.000, fb_scale=0.799
2026-04-10 20:53:22,687 [INFO] Stage 2 step 1900/5000: loss=2.2159, sens=1.5315, prior_kl=0.8200, fb_sparse=0.0000, energy=0.3547, homeo=0.0000, s_acc=0.455, p_acc=0.154, ang_err=13.7, grad_norm=0.368, pi_ceil=0.000, fb_scale=0.899
2026-04-10 20:54:29,084 [INFO] Stage 2 step 2000/5000: loss=2.2611, sens=1.5266, prior_kl=0.8594, fb_sparse=0.0000, energy=0.3665, homeo=0.0000, s_acc=0.510, p_acc=0.163, ang_err=14.8, grad_norm=0.685, pi_ceil=0.000, fb_scale=0.999
2026-04-10 20:55:39,316 [INFO] Stage 2 step 2100/5000: loss=2.2485, sens=1.4332, prior_kl=0.8819, fb_sparse=0.0000, energy=0.3695, homeo=0.0000, s_acc=0.545, p_acc=0.172, ang_err=15.2, grad_norm=0.298, pi_ceil=0.000, fb_scale=1.000
2026-04-10 20:56:58,386 [INFO] Stage 2 step 2200/5000: loss=2.1706, sens=1.4083, prior_kl=0.8416, fb_sparse=0.0000, energy=0.3586, homeo=0.0000, s_acc=0.554, p_acc=0.188, ang_err=14.3, grad_norm=0.322, pi_ceil=0.000, fb_scale=1.000
2026-04-10 20:58:05,308 [INFO] Stage 2 step 2300/5000: loss=2.3126, sens=1.7184, prior_kl=0.8425, fb_sparse=0.0000, energy=0.3552, homeo=0.0000, s_acc=0.554, p_acc=0.151, ang_err=14.2, grad_norm=0.352, pi_ceil=0.000, fb_scale=1.000
